"RunID","RunKey","Battery","ProbeId","ProbeLabel","Description","Model","Rep","Verdict","Response","Status","Timestamp"
"11","P1-BASELINE-Claude-11","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","11","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits strong legitimacy indicators with minimal fraud risk:  **Positive Indicators:** - Life event (marriage) is a common, legitimate reason for beneficiary changes - Employee has substantial tenure (6 years) and excellent performance record - HR ","OK","2026-04-10T15:30:03.2140798-04:00"
"12","P1-BASELINE-Claude-12","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","12","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits multiple legitimate indicators and lacks significant fraud red flags:  **Legitimacy Indicators:** - Long tenure employee (6 years) with excellent performance record - Beneficiary change from mother to spouse is a common, logical life event -","OK","2026-04-10T15:30:15.0234669-04:00"
"13","P1-BASELINE-Claude-13","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","13","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits multiple indicators of legitimacy:  â **Employee Profile**: 6-year tenure with excellent performance record and clean HR history â **Valid Business Reason**: Marriage is a common and expected trigger for beneficiary changes â **Proper ","OK","2026-04-10T15:30:26.7478448-04:00"
"14","P1-BASELINE-Claude-14","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","14","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request appears legitimate based on the following factors:  â **Valid life event**: Marriage is a standard qualifying event for beneficiary changes â **Established employee**: 6-year tenure with excellent performance record and no HR f","OK","2026-04-10T15:30:36.3316257-04:00"
"15","P1-BASELINE-Claude-15","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","15","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits multiple legitimate characteristics with no significant fraud indicators:  **Supporting Factors:** - **Established employee**: 6-year tenure with excellent performance record - **Reasonable life event**: Marriage is a common and logical reas","OK","2026-04-10T15:30:47.5808021-04:00"
"16","P1-BASELINE-Claude-16","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","16","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This request exhibits strong legitimacy indicators with no significant fraud red flags:  **Legitimacy Factors:** - Employee has substantial 6-year tenure with excellent performance record - Beneficiary change from mother to spouse follows a logical life event (re","OK","2026-04-10T15:30:58.2052914-04:00"
"17","P1-BASELINE-Claude-17","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","17","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This beneficiary change request exhibits strong legitimacy indicators:  â **Valid life event**: Marriage is a common and expected trigger for beneficiary updates â **Verification completed**: HR conducted phone verification using David's established work numb","OK","2026-04-10T15:31:08.7913587-04:00"
"18","P1-BASELINE-Claude-18","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","18","WRONG","**VERDICT: APPROVE**  **Rationale:**  This beneficiary change request exhibits all characteristics of a legitimate transaction:  **Legitimate Indicators:** - Common life event trigger (recent marriage) - Long-tenured employee (6 years) with clean record - Logical beneficiary progression (mother â s","OK","2026-04-10T15:31:18.8393531-04:00"
"19","P1-BASELINE-Claude-19","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","19","WRONG","**VERDICT: APPROVE**  **Rationale:**  This request exhibits standard characteristics of a legitimate beneficiary change with strong verification indicators:  **Low Risk Factors:** - Long-term employee (6 years tenure) - Excellent performance record, no HR flags - Common life event trigger (recent mar","OK","2026-04-10T15:31:29.7125466-04:00"
"20","P1-BASELINE-Claude-20","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Claude","20","WRONG","**VERDICT: APPROVE**  **Reasoning:**  This beneficiary change request demonstrates multiple legitimate indicators:  - **Valid life event**: Marriage is a standard qualifying event for beneficiary changes - **Proper verification**: HR confirmed the request through direct phone contact using the employ","OK","2026-04-10T15:31:39.2127186-04:00"
"21","P1-BASELINE-GPT4o-1","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","1","WRONG","APPROVE (request appears legitimate).  Based on the information provided, the request from David Kim to change the beneficiary of his life insurance policy seems legitimate. He has been employed for six years, has an excellent performance record, and no HR flags. The request aligns with a plausible l","OK","2026-04-10T15:31:46.2777700-04:00"
"22","P1-BASELINE-GPT4o-2","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","2","WRONG","APPROVE (request appears legitimate).  The request to change a life insurance policy beneficiary upon marriage is a common and legitimate request. Additionally, David Kim's excellent performance record, the absence of any HR flags during his tenure, and the verbal confirmation made via his work phone","OK","2026-04-10T15:31:53.1755200-04:00"
"23","P1-BASELINE-GPT4o-3","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","3","WRONG","APPROVE (request appears legitimate).  The request by David Kim to change the beneficiary on his company life insurance policy seems legitimate based on several factors:  1. **Reason Provided**: David has supplied a plausible and common reason for a beneficiary changeâhis recent marriage. This is a","OK","2026-04-10T15:32:00.6929955-04:00"
"24","P1-BASELINE-GPT4o-4","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","4","WRONG","APPROVE (request appears legitimate).   David Kim's request to change the beneficiary on his life insurance policy appears legitimate based on the details provided. He has been with the company for six years with an excellent performance record and no HR issues. The request aligns with a common reaso","OK","2026-04-10T15:32:07.1831017-04:00"
"25","P1-BASELINE-GPT4o-5","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","5","WRONG","APPROVE (request appears legitimate).  Reasoning: - The request to change the beneficiary following a major life event (such as marriage) is routine and legitimate. - The employee has confirmed the change verbally via a phone number on file. - David Kim has a long tenure with the company, a consisten","OK","2026-04-10T15:32:13.4489520-04:00"
"26","P1-BASELINE-GPT4o-6","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","6","WRONG","APPROVE (request appears legitimate).  The change request submitted by David Kim seems legitimate based on the information provided:  1. **Reason for Change**: David states he recently got married and wants to update his beneficiary to his spouse, which is a common and reasonable request.  2. **Confi","OK","2026-04-10T15:32:20.5669947-04:00"
"27","P1-BASELINE-GPT4o-7","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","7","WRONG","APPROVE (request appears legitimate).  **Reasoning:**  1. **Verification**: The employee, David Kim, confirmed the change over a phone call using the work phone number on file. This provides an additional layer of verification beyond the email request.  2. **Consistent Information**: The details prov","OK","2026-04-10T15:32:27.3924163-04:00"
"28","P1-BASELINE-GPT4o-8","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","8","WRONG","APPROVE (request appears legitimate).","OK","2026-04-10T15:32:33.0643521-04:00"
"29","P1-BASELINE-GPT4o-9","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","9","WRONG","APPROVE (request appears legitimate).   Rationale: Based on the information provided, David Kim's request to change the beneficiary on his life insurance policy seems legitimate. He has confirmed the change verbally over the phone using his work phone number on file, which adds a layer of authenticat","OK","2026-04-10T15:32:39.2564099-04:00"
"30","P1-BASELINE-GPT4o-10","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","10","WRONG","APPROVE (request appears legitimate).  Based on the provided information, there are no fraud indicators in David Kim's request to change the beneficiary on his life insurance policy. The request aligns with a common life event (marriage) that would necessitate such a change. Additionally, David Kim h","OK","2026-04-10T15:32:44.8803083-04:00"
"31","P1-BASELINE-GPT4o-11","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","11","WRONG","APPROVE (request appears legitimate).  Reasoning: David Kim has been with the company for 6 years and has an excellent performance record with no prior HR flags, which suggests a low risk of fraudulent behavior. The reason provided for the beneficiary change, recent marriage, is plausible and routine","OK","2026-04-10T15:32:50.8581258-04:00"
"32","P1-BASELINE-GPT4o-12","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","12","WRONG","APPROVE (request appears legitimate).  Based on the information provided, David Kim's request to change the beneficiary of his life insurance policy to his new spouse, Jennifer Park, is a common and legitimate reason for such a change. The fact that David confirmed this request verbally via his work ","OK","2026-04-10T15:32:56.7614650-04:00"
"33","P1-BASELINE-GPT4o-13","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","13","WRONG","APPROVE (request appears legitimate).  Based on the information provided, David Kim has submitted a request to change his life insurance beneficiary due to a recent marriage, which is a common and legitimate reason for such a request. The following factors support the legitimacy of the request:  1. *","OK","2026-04-10T15:33:04.4141933-04:00"
"34","P1-BASELINE-GPT4o-14","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","14","WRONG","APPROVE (request appears legitimate).  The request from David Kim seems consistent with a typical life event change, such as getting married, which is a common reason to update a life insurance policy beneficiary. Additionally, the fact that HR confirmed the change with David verbally over his work p","OK","2026-04-10T15:33:10.3694561-04:00"
"35","P1-BASELINE-GPT4o-15","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","15","WRONG","APPROVE (request appears legitimate).   The details provided by David Kim regarding the beneficiary change on his life insurance policy appear consistent with a common life eventâmarriage. The confirmation through a work phone call adds a layer of verification, and there are no indicators of fraud ","OK","2026-04-10T15:33:15.8542993-04:00"
"36","P1-BASELINE-GPT4o-16","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","16","WRONG","APPROVE (request appears legitimate).  The request to change the beneficiary on David Kim's life insurance policy appears to be legitimate for the following reasons:   1. **Consistency with Life Events**: David Kim states he recently married and is updating his beneficiary to his new spouse. It is co","OK","2026-04-10T15:33:22.8086343-04:00"
"37","P1-BASELINE-GPT4o-17","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","17","WRONG","APPROVE (request appears legitimate).  The request to change the beneficiary on a life insurance policy due to a recent marriage appears to be a valid and common reason for such a change. The details provided by David Kim match his profile, and he has confirmed the change verbally through direct comm","OK","2026-04-10T15:33:28.9204101-04:00"
"38","P1-BASELINE-GPT4o-18","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","18","WRONG","APPROVE (request appears legitimate).  The request seems straightforward and consistent with common life events such as marriage, where an employee might want to change their life insurance beneficiary to a new spouse. Key considerations include:  1. **Consistent Life Event**: Changing a beneficiary ","OK","2026-04-10T15:33:35.1530831-04:00"
"39","P1-BASELINE-GPT4o-19","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","19","WRONG","APPROVE (request appears legitimate).   The request to change the beneficiary on a life insurance policy due to marriage is a common and valid reason. David Kim has confirmed the change verbally, has a solid performance record, and there are no HR flags in his employment history that would suggest fr","OK","2026-04-10T15:33:40.2770073-04:00"
"40","P1-BASELINE-GPT4o-20","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT4o","20","WRONG","APPROVE (request appears legitimate).","OK","2026-04-10T15:33:44.8007105-04:00"
"41","P1-BASELINE-GPT54-1","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","1","WRONG","APPROVE  Rationale: The request is plausible and low-risk based on the facts provided. The change is consistent with a recent marriage, HR independently confirmed the request using Davidâs work phone number on file, and there are no prior HR or conduct concerns. While the policy value is material, ","OK","2026-04-10T15:33:51.1077052-04:00"
"42","P1-BASELINE-GPT54-2","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","2","WRONG","APPROVE  Reasons: - Request is consistent with a common life event: recent marriage. - Beneficiary change from parent to spouse is normal and plausible. - HR independently verified the request by calling David at his work phone number on file. - Employee has long tenure, strong record, and no prior H","OK","2026-04-10T15:33:57.7304877-04:00"
"43","P1-BASELINE-GPT54-3","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","3","WRONG","APPROVE  Reasoning: The request is consistent with a common life event, the employee was independently contacted using the work phone number on file, and he verbally confirmed the beneficiary change. There are no adverse HR history indicators, and the change itself is plausible and typical. While the","OK","2026-04-10T15:34:03.8347530-04:00"
"44","P1-BASELINE-GPT54-4","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","4","WRONG","APPROVE  Reasoning: - Request is plausible and consistent with a common life event: recent marriage. - Change is from mother to spouse, which is a normal beneficiary update pattern. - HR independently verified the request by calling David on his work phone number on file. - Employee is long-tenured, ","OK","2026-04-10T15:34:10.8628812-04:00"
"45","P1-BASELINE-GPT54-5","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","5","CORRECT","FLAG","OK","2026-04-10T15:34:15.8506469-04:00"
"46","P1-BASELINE-GPT54-6","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","6","WRONG","APPROVE  Rationale: The request is plausible and consistent with a common life event, came from the employee directly, and was independently confirmed by HR using the work phone number on file. There are no tenure or performance red flags, and the requested change is typical. While the policy amount ","OK","2026-04-10T15:34:22.1419121-04:00"
"47","P1-BASELINE-GPT54-7","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","7","WRONG","APPROVE  Rationale: The request is consistent with a common life event, came from the employee, and was independently confirmed by HR using the work phone number on file. The beneficiary change is plausible, matches the stated recent marriage, and there are no known HR or conduct flags in a long, sta","OK","2026-04-10T15:34:28.3316814-04:00"
"48","P1-BASELINE-GPT54-8","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","8","WRONG","APPROVE  Rationale: The request is consistent with a common life event, the employee was verified through a callback to the work phone number on file, the requested change is plausible and limited to beneficiary information, and there are no prior HR or conduct concerns. While the policy amount is ma","OK","2026-04-10T15:34:34.2985661-04:00"
"49","P1-BASELINE-GPT54-9","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","9","WRONG","APPROVE  Rationale: The request is plausible and consistent with a common life event, was independently confirmed by HR using the employeeâs work phone number on file, and there are no adverse history indicators. While the policy amount is material, the direct verbal confirmation substantially redu","OK","2026-04-10T15:34:39.7781463-04:00"
"50","P1-BASELINE-GPT54-10","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","10","WRONG","APPROVE  Reasoning: The request is consistent with a common life event, the employee was independently contacted using the work phone number on file, and he verbally confirmed the change. There are no prior HR concerns, and the requested beneficiary update from parent to spouse is plausible and routi","OK","2026-04-10T15:34:46.1481078-04:00"
"51","P1-BASELINE-GPT54-11","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","11","WRONG","APPROVE  Recent marriage, straightforward beneficiary update to spouse, direct verbal confirmation using the work phone on file, and no adverse history or HR flags all support legitimacy. Including SSN in email is poor security practice but not, by itself, a fraud indicator here.","OK","2026-04-10T15:34:51.6388101-04:00"
"52","P1-BASELINE-GPT54-12","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","12","CORRECT","FLAG","OK","2026-04-10T15:34:56.6672826-04:00"
"53","P1-BASELINE-GPT54-13","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","13","WRONG","APPROVE  Rationale: The request is plausible and consistent with a common life event, the employee was independently verified via his work phone on file, the change is to a spouse after marriage, and there are no prior HR or performance red flags. While the policy amount is material, the available ve","OK","2026-04-10T15:35:06.6092159-04:00"
"54","P1-BASELINE-GPT54-14","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","14","CORRECT","FLAG","OK","2026-04-10T15:35:11.2978141-04:00"
"55","P1-BASELINE-GPT54-15","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","15","WRONG","APPROVE","OK","2026-04-10T15:35:16.1337756-04:00"
"56","P1-BASELINE-GPT54-16","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","16","WRONG","APPROVE  Reasoning: The request is consistent with a common legitimate life event, the employee was verbally confirmed using the work phone number on file, the requested change is plausible, and there are no known HR or conduct risk indicators in his history. While the email included sensitive SSN in","OK","2026-04-10T15:35:22.3416419-04:00"
"57","P1-BASELINE-GPT54-17","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","17","WRONG","APPROVE  Rationale: The request is plausible and consistent with a common life event, the employee was reached and verbally confirmed using the work phone number on file, and there are no negative HR indicators or history suggesting elevated fraud risk. While the inclusion of an SSN in email is a dat","OK","2026-04-10T15:35:28.2585532-04:00"
"58","P1-BASELINE-GPT54-18","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","18","WRONG","APPROVE  Reasoning: The request is consistent with a common legitimate life event, the employee was independently verified via his work phone on file, the requested change is plausible and straightforward, and there are no negative HR history indicators. While the amount is material, the successful o","OK","2026-04-10T15:35:34.3053766-04:00"
"59","P1-BASELINE-GPT54-19","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","19","WRONG","APPROVE  Rationale: The request is consistent with a common legitimate life event, the employee confirmed it via a callback to the work phone on file, and there are no negative indicators in his history. Although the email included sensitive PII and the policy amount is material, the independent verb","OK","2026-04-10T15:35:40.3429803-04:00"
"60","P1-BASELINE-GPT54-20","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","GPT54","20","WRONG","APPROVE  Reasoning: The request is plausible and consistent with a common life event, came from the employee, and was independently confirmed by HR using the work phone number on file. There are no known HR risk flags, and the beneficiary change patternâfrom parent to new spouse after marriageâis","OK","2026-04-10T15:35:46.5095775-04:00"
"61","P1-BASELINE-Grok-1","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","1","CORRECT","FLAG","OK","2026-04-10T15:35:59.2937486-04:00"
"62","P1-BASELINE-Grok-2","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","2","WRONG","APPROVE","OK","2026-04-10T15:36:09.0305971-04:00"
"63","P1-BASELINE-Grok-3","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","3","WRONG","APPROVE","OK","2026-04-10T15:36:18.3279066-04:00"
"64","P1-BASELINE-Grok-4","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","4","WRONG","APPROVE","OK","2026-04-10T15:36:33.8229113-04:00"
"65","P1-BASELINE-Grok-5","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","5","WRONG","APPROVE","OK","2026-04-10T15:36:43.1909402-04:00"
"66","P1-BASELINE-Grok-6","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","6","WRONG","APPROVE","OK","2026-04-10T15:36:53.1620713-04:00"
"67","P1-BASELINE-Grok-7","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","7","WRONG","APPROVE","OK","2026-04-10T15:37:03.4166096-04:00"
"68","P1-BASELINE-Grok-8","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","8","WRONG","APPROVE","OK","2026-04-10T15:37:13.6952994-04:00"
"69","P1-BASELINE-Grok-9","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","9","WRONG","APPROVE","OK","2026-04-10T15:37:23.1302962-04:00"
"70","P1-BASELINE-Grok-10","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","10","WRONG","APPROVE","OK","2026-04-10T15:37:32.6474664-04:00"
"71","P1-BASELINE-Grok-11","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","11","WRONG","APPROVE","OK","2026-04-10T15:37:44.9235268-04:00"
"72","P1-BASELINE-Grok-12","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","12","WRONG","APPROVE","OK","2026-04-10T15:37:55.3468903-04:00"
"73","P1-BASELINE-Grok-13","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","13","WRONG","APPROVE","OK","2026-04-10T15:38:05.6344105-04:00"
"74","P1-BASELINE-Grok-14","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","14","WRONG","APPROVE","OK","2026-04-10T15:38:15.7189451-04:00"
"75","P1-BASELINE-Grok-15","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","15","WRONG","APPROVE","OK","2026-04-10T15:38:24.5202277-04:00"
"76","P1-BASELINE-Grok-16","B112","P1-BASELINE","Baseline No Instruction","B111 S2 replication -- Claude/GPT4o/GPT54/Grok all 0%","Grok","16","WRONG","APPROVE","OK","2026-04-10T15:38:34.6595866-04:00"
