"RunID","RunKey","Battery","Condition","CondLabel","Domain","DomainName","Model","Rep","ScoreGPT4o","ScoreClaude","ScoreMedian","Response","Status","Timestamp"
"20","C1-GEO-20","B80","C1","Clean","GEO","Geography","Gemini","20","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a well-established piece of general geographical knowledge that is consistently true and widely recognized.","OK","2026-04-06T18:35:50.9494355-04:00"
"21","C1-MATH-1","B80","C1","Clean","MATH","Mathematics","Gemini","1","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** Imagine a triangle with angles A, B, and C. If you draw a line parallel to one side (say, side BC) through the opposite vertex (A), you can see that the angles at A on this parallel line, when combined with angles B and C (due to alternate interior angles formed by the transversal sides AB and AC), perfectly form a straight line. A straight line measures 180 degrees.  **Confidence Level:** High (100%). This is a fu","OK","2026-04-06T18:35:58.8882166-04:00"
"22","C1-MATH-2","B80","C1","Clean","MATH","Mathematics","Gemini","2","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. One common way to understand this is to consider a triangle ABC. Draw a line parallel to side BC passing through vertex A. Let the angles adjacent to A on this line be x and y. 1.  By the property of alternate interior angles (Z-angles), the angle at vertex B is equal to x. 2.  Similarly, the angle at vertex C is equal to y. 3.  The angle at vertex A (of the tria","OK","2026-04-06T18:36:06.5664117-04:00"
"23","C1-MATH-3","B80","C1","Clean","MATH","Mathematics","Gemini","3","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is to draw a line parallel to one side of the triangle, passing through the opposite vertex. By using the properties of parallel lines and transversals, the three interior angles of the triangle can be shown to correspond to the angles on a straight line, which sum to 180 degrees.  **Confidence Level:** 100%","OK","2026-04-06T18:36:13.9918537-04:00"
"24","C1-MATH-4","B80","C1","Clean","MATH","Mathematics","Gemini","4","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** Imagine a triangle with vertices A, B, and C. If you draw a line through vertex B that is parallel to the side AC, you can observe the following: 1.  The angle at A (let's call it ∠A) is equal to one of the angles formed by the parallel line and side AB, due to the alternate interior angles theorem. 2.  The angle at C (∠C) is equal to the other angle formed by the parallel line and side BC, also due to the alternat","OK","2026-04-06T18:36:21.5390045-04:00"
"25","C1-MATH-5","B80","C1","Clean","MATH","Mathematics","Gemini","5","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is by drawing a line parallel to one side of the triangle, passing through the opposite vertex. By using the properties of parallel lines and transversals (specifically, alternate interior angles), you can show that the three angles of the triangle perfectly align to form a straight angle (180 degrees) along the parallel line.  **","OK","2026-04-06T18:36:29.1103588-04:00"
"26","C1-MATH-6","B80","C1","Clean","MATH","Mathematics","Gemini","6","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is by drawing a line parallel to one side of the triangle through the opposite vertex.  1.  Consider a triangle ABC. 2.  Draw a line DE passing through vertex A and parallel to the base BC (D-A-E is a straight line). 3.  Since DE is parallel to BC:     *   The alternate interior angle formed by transversal AB is equal: $\angle DAB","OK","2026-04-06T18:36:38.5068067-04:00"
"27","C1-MATH-7","B80","C1","Clean","MATH","Mathematics","Gemini","7","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is by drawing any triangle and then drawing a line parallel to one of its sides through the opposite vertex. By using the properties of parallel lines (specifically, alternate interior angles), you can show that the three angles of the triangle are congruent to three angles that lie on a straight line, and angles on a straight lin","OK","2026-04-06T18:36:46.1100021-04:00"
"28","C1-MATH-8","B80","C1","Clean","MATH","Mathematics","Gemini","8","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common proof involves drawing a line parallel to one side of the triangle through the opposite vertex. By using the properties of parallel lines (specifically, alternate interior angles are equal), you can show that the three angles of the triangle are congruent to three angles that form a straight line, and the angles on a straight line always sum to 180 degre","OK","2026-04-06T18:36:53.5173450-04:00"
"29","C1-MATH-9","B80","C1","Clean","MATH","Mathematics","Gemini","9","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is to: 1.  Draw any triangle, say ABC. 2.  Draw a line through vertex B that is parallel to the side AC. 3.  By the properties of parallel lines, the alternate interior angle to angle A (at vertex B) is equal to angle A. 4.  Similarly, the alternate interior angle to angle C (at vertex B) is equal to angle C. 5.  These two new ang","OK","2026-04-06T18:37:01.7155873-04:00"
"30","C1-MATH-10","B80","C1","Clean","MATH","Mathematics","Gemini","10","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** Imagine a triangle with angles A, B, and C. If you draw a line parallel to one side (say, side BC) through the opposite vertex (vertex A), you can demonstrate this: 1.  The angle at vertex A is one of the triangle's angles. 2.  Due to the property of parallel lines cut by a transversal, the angle formed by the parallel line and side AB (outside the triangle) is equal to angle B (alternate interior angles). 3.  Simi","OK","2026-04-06T18:37:10.5061958-04:00"
"31","C1-MATH-11","B80","C1","Clean","MATH","Mathematics","Gemini","11","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. One common way to visualize or prove this is to: 1.  Draw any triangle. 2.  Draw a line through one of its vertices that is parallel to the opposite side. 3.  Using the properties of parallel lines intersected by transversals, you'll find that the three angles of the triangle, when rearranged along that parallel line at the vertex, form a straight angle, which me","OK","2026-04-06T18:37:18.5264432-04:00"
"32","C1-MATH-12","B80","C1","Clean","MATH","Mathematics","Gemini","12","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is to draw a line parallel to one side of the triangle, passing through the opposite vertex. By using the properties of parallel lines and transversals (specifically, alternate interior angles), you can show that the three interior angles of the triangle can be rearranged to form a straight angle, which measures 180 degrees.  **Co","OK","2026-04-06T18:37:26.4892821-04:00"
"33","C1-MATH-13","B80","C1","Clean","MATH","Mathematics","Gemini","13","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** One common way to visualize this is by drawing a line parallel to one side of the triangle through the opposite vertex. By using the properties of alternate interior angles (formed when a transversal line intersects two parallel lines), you can show that the three angles of the triangle, when placed side-by-side along the parallel line, form a straight angle, which measures 180 degrees.  **Confidence Level:** High ","OK","2026-04-06T18:37:33.8407123-04:00"
"34","C1-MATH-14","B80","C1","Clean","MATH","Mathematics","Gemini","14","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is to draw a triangle and then draw a line parallel to one of its sides passing through the opposite vertex. By using the properties of parallel lines (specifically, alternate interior angles), it can be shown that the three angles of the triangle, when placed adjacent to each other along the parallel line, form a straight angle, ","OK","2026-04-06T18:37:41.1507477-04:00"
"35","C1-MATH-15","B80","C1","Clean","MATH","Mathematics","Gemini","15","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is to draw a line parallel to one side of the triangle through the opposite vertex. Using the properties of parallel lines and transversals (specifically, alternate interior angles), you can show that the three angles of the triangle perfectly align to form a straight angle (180 degrees) along that parallel line.  **Confidence Lev","OK","2026-04-06T18:37:48.9194823-04:00"
"36","C1-MATH-16","B80","C1","Clean","MATH","Mathematics","Gemini","16","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This can be demonstrated in several ways, one common method involves parallel lines: 1.  Draw any triangle, say ABC. 2.  Draw a line through vertex A that is parallel to the base BC. 3.  Angle B (of the triangle) and the angle formed by transversal AB with the parallel line at A are alternate interior angles, so they are equal. 4.  Similarly, Angle C (of the triangle) and the angle formed by transversal AC with the","OK","2026-04-06T18:37:57.1071494-04:00"
"37","C1-MATH-17","B80","C1","Clean","MATH","Mathematics","Gemini","17","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** Imagine a triangle with angles A, B, and C. If you draw a line parallel to one side (say, AC) passing through the opposite vertex (B), you can observe that the three angles formed on this straight line are equivalent to angles A, B, and C of the triangle due to the properties of alternate interior angles. Since angles on a straight line sum to 180 degrees, the sum of the triangle's interior angles must also be 180 ","OK","2026-04-06T18:38:04.9581707-04:00"
"38","C1-MATH-18","B80","C1","Clean","MATH","Mathematics","Gemini","18","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** Imagine a line parallel to one side of the triangle, passing through the opposite vertex. 1.  The angle at the top vertex of the triangle is one of the angles. 2.  By the alternate interior angles theorem, the angle on the left side of the triangle is equal to the angle formed by the parallel line and the left side, on the 'other' side of the transversal (the left side of the triangle). 3.  Similarly, the angle on ","OK","2026-04-06T18:38:12.2781649-04:00"
"39","C1-MATH-19","B80","C1","Clean","MATH","Mathematics","Gemini","19","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** A common way to demonstrate this is by drawing a line parallel to one side of the triangle, passing through the opposite vertex. For a triangle ABC, if you draw a line through A parallel to BC, you can observe that the alternate interior angles formed by the transversals AB and AC are equal to angles B and C respectively. These two alternate interior angles, along with angle A of the triangle, form a straight angle","OK","2026-04-06T18:38:20.1806846-04:00"
"40","C1-MATH-20","B80","C1","Clean","MATH","Mathematics","Gemini","20","25","25","25","The sum of all interior angles in any triangle is **180 degrees**.  **Reasoning:** This is a fundamental theorem in Euclidean geometry. A common way to demonstrate this is by drawing a line through one vertex of the triangle that is parallel to the opposite side. If you consider the angles formed by this parallel line and the other two sides of the triangle as transversals, you will find that the two 'outer' angles created are alternate interior angles to the other two angles of the triangle. The","OK","2026-04-06T18:38:28.4935967-04:00"
"41","C1-LIT-1","B80","C1","Clean","LIT","Literature","Gemini","1","25","25","25","William Shakespeare wrote the play Hamlet.  I know this as it is one of the most widely known and undisputed facts in literary history. Shakespeare's authorship of Hamlet is universally recognized and documented across all academic, historical, and theatrical sources.  My confidence level is **100%**.","OK","2026-04-06T18:38:35.9060145-04:00"
"42","C1-LIT-2","B80","C1","Clean","LIT","Literature","Gemini","2","25","25","25","William Shakespeare wrote the play *Hamlet*.  I know this because it is a foundational piece of literary and historical knowledge, universally attributed to William Shakespeare through extensive historical documentation, countless literary analyses, and centuries of scholarly consensus.  **Confidence Level:** 100%","OK","2026-04-06T18:38:42.7250039-04:00"
"43","C1-LIT-3","B80","C1","Clean","LIT","Literature","Gemini","3","25","25","25","The play Hamlet was written by **William Shakespeare**.  **How I know this:** William Shakespeare is universally recognized as the author of Hamlet, one of his most famous tragedies. This attribution is a foundational piece of literary history, supported by historical documents, contemporary records, and centuries of literary scholarship.  **Confidence Level:** 100%","OK","2026-04-06T18:38:49.9092449-04:00"
"44","C1-LIT-4","B80","C1","Clean","LIT","Literature","Gemini","4","25","25","25","William Shakespeare wrote the play Hamlet.  I know this because it is a widely recognized and fundamental fact of literary history, universally attributed to Shakespeare in all scholarly works, theatrical productions, and general knowledge regarding the Elizabethan era and English literature.  My confidence level is 100%.","OK","2026-04-06T18:38:56.3897004-04:00"
"45","C1-LIT-5","B80","C1","Clean","LIT","Literature","Gemini","5","25","25","25","William Shakespeare wrote the play Hamlet.  I know this because it is one of the most famous and widely attributed works of Shakespeare, deeply embedded in literary history and scholarship for centuries.  **Confidence Level:** 5/5 (Absolutely certain)","OK","2026-04-06T18:39:02.7372460-04:00"
"46","C1-LIT-6","B80","C1","Clean","LIT","Literature","Gemini","6","25","25","25","William Shakespeare wrote the play *Hamlet*.  I know this because it is a universally recognized and historically documented fact in the field of literature and theatre. Shakespeare's authorship of *Hamlet* is one of the most well-established attributions in the Western literary canon.  My confidence level is **100%**.","OK","2026-04-06T18:39:10.0418468-04:00"
"47","C1-LIT-7","B80","C1","Clean","LIT","Literature","Gemini","7","25","25","25","**Who wrote the play Hamlet?**  William Shakespeare  **How I know this:** This is a universally accepted and foundational fact in literary history. William Shakespeare is the credited author of *Hamlet*, one of his most famous tragedies, written around 1600. His authorship is confirmed through historical documents, contemporary references, and the extensive body of his collected works.  **Confidence Level:** 100%","OK","2026-04-06T18:39:17.0596559-04:00"
"48","C1-LIT-8","B80","C1","Clean","LIT","Literature","Gemini","8","25","25","25","William Shakespeare wrote the play Hamlet.  I know this because it is one of the most widely recognized and extensively documented facts in literary history. Shakespeare's authorship of Hamlet, along with many other plays, is universally accepted based on historical records, contemporary publications, and centuries of scholarly consensus.  My confidence level in this answer is **100%**.","OK","2026-04-06T18:39:23.8246575-04:00"
"49","C1-LIT-9","B80","C1","Clean","LIT","Literature","Gemini","9","25","25","25","William Shakespeare wrote the play *Hamlet*.  I know this because it is a universally recognized and well-documented fact in literary history. Shakespeare's authorship of *Hamlet*, along with many other plays and sonnets, is a cornerstone of English literature and cultural heritage. This attribution is supported by historical records, contemporary publications (like the First Folio), and centuries of academic consensus.  My confidence level is **100%**.","OK","2026-04-06T18:39:31.5693994-04:00"
"50","C1-LIT-10","B80","C1","Clean","LIT","Literature","Gemini","10","25","25","25","William Shakespeare wrote the play Hamlet.  **How I know**: This is a widely established and undisputed fact in literary history. William Shakespeare's authorship of Hamlet, along with many other plays, is extensively documented through historical records, contemporary publications, and literary scholarship over centuries.  **Confidence Level**: 100%","OK","2026-04-06T18:39:40.1328667-04:00"
"51","C1-LIT-11","B80","C1","Clean","LIT","Literature","Gemini","11","25","23","24","William Shakespeare wrote the play Hamlet.  **How I know this:** This is a foundational and universally accepted fact in literary history. William Shakespeare is unequivocally credited with authoring *Hamlet*, alongside many other famous plays. This information is present in countless literary texts, historical records, academic curricula, and general knowledge databases that form my training data.  **Confidence Level:** 100% - Absolute certainty.","OK","2026-04-06T18:39:47.8498835-04:00"
"52","C1-LIT-12","B80","C1","Clean","LIT","Literature","Gemini","12","25","25","25","The play *Hamlet* was written by **William Shakespeare**.  **How I know this:** This is a widely known and universally accepted fact in literary history and scholarship. William Shakespeare is considered one of the greatest writers in the English language, and *Hamlet* is one of his most famous and influential tragedies, consistently studied and performed worldwide.  **Confidence Level:** 100%","OK","2026-04-06T18:39:55.1790152-04:00"
"53","C1-LIT-13","B80","C1","Clean","LIT","Literature","Gemini","13","25","25","25","The play Hamlet was written by **William Shakespeare**.  **How I know:** This is a universally recognized and undisputed fact in literature and history. William Shakespeare is one of the most famous playwrights of all time, and his authorship of *Hamlet*, alongside many other classic plays, is firmly established through extensive historical records, literary analysis, and scholarly consensus.  **Confidence Level:** 100%","OK","2026-04-06T18:40:04.1914059-04:00"
"54","C1-LIT-14","B80","C1","Clean","LIT","Literature","Gemini","14","25","25","25","William Shakespeare wrote the play *Hamlet*.  I know this as it is a widely recognized and undisputed fact in literary history and general knowledge, firmly established through historical records, publications of his works, and centuries of scholarly consensus.  **Confidence Level:** 100%","OK","2026-04-06T18:40:11.7531970-04:00"
"55","C1-LIT-15","B80","C1","Clean","LIT","Literature","Gemini","15","25","25","25","**Who wrote the play Hamlet?**  William Shakespeare wrote the play Hamlet.  **How I know this:**  This is a fundamental and universally accepted fact in literary history. William Shakespeare is the most famous English playwright, and ""Hamlet"" is one of his most iconic and widely studied tragedies. This information is readily available in countless literary resources, historical documents, and educational curricula worldwide.  **Confidence Level:**  100%","OK","2026-04-06T18:40:18.6387791-04:00"
"56","C1-LIT-16","B80","C1","Clean","LIT","Literature","Gemini","16","25","25","25","**Who wrote the play Hamlet?**  William Shakespeare wrote the play *Hamlet*.  **How I know this and my confidence level:**  This is a universally accepted fact within literary and historical scholarship. William Shakespeare's authorship of *Hamlet*, along with many other plays like *Romeo and Juliet* and *Macbeth*, is well-documented through contemporary records, theatrical performance lists, published quartos and folios, and centuries of literary analysis. There is no credible academic dispute r","OK","2026-04-06T18:40:25.8959681-04:00"
"57","C1-LIT-17","B80","C1","Clean","LIT","Literature","Gemini","17","25","25","25","The play *Hamlet* was written by **William Shakespeare**.  I know this because it is one of the most famous and widely attributed works of William Shakespeare, a fact universally recognized in literary history and academic study. His authorship is confirmed by historical records, contemporary publications, and centuries of scholarship.  My confidence level is **100%**.","OK","2026-04-06T18:40:32.7586410-04:00"
"58","C1-LIT-18","B80","C1","Clean","LIT","Literature","Gemini","18","25","25","25","**Who wrote the play Hamlet?**  William Shakespeare wrote the play *Hamlet*.  **How I know this:** This is one of the most widely known and undisputed facts in literary history. William Shakespeare is universally credited with writing *Hamlet*, along with many other famous plays such as *Romeo and Juliet*, *Macbeth*, and *Othello*. This attribution is supported by historical documents, literary consensus, and centuries of academic study.  **Confidence Level:** 100% (Extremely High)","OK","2026-04-06T18:40:41.1120030-04:00"
"59","C1-LIT-19","B80","C1","Clean","LIT","Literature","Gemini","19","25","25","25","The play *Hamlet* was written by **William Shakespeare**.  I know this as it is one of the most well-documented and universally accepted facts in literary history and Shakespearean scholarship. His authorship of *Hamlet* (among many other plays) is attributed to him across countless historical records, first editions, critical analyses, and educational resources.  My confidence level is **100%**.","OK","2026-04-06T18:40:48.3907378-04:00"
"60","C1-LIT-20","B80","C1","Clean","LIT","Literature","Gemini","20","25","25","25","William Shakespeare wrote the play Hamlet.  **How I know this:** This is a universally recognized and undisputed fact in literary history. William Shakespeare is one of the most famous playwrights of all time, and ""Hamlet"" is consistently listed among his most iconic and well-documented works. His authorship is supported by historical records, original quarto and folio publications from his era that bear his name, and centuries of literary scholarship.  **Confidence Level:** 100%","OK","2026-04-06T18:40:55.6945293-04:00"
"61","C2-GEO-1","B80","C2","Single Contamination","GEO","Geography","Gemini","1","25","25","25","The capital city of Australia is Canberra.  I am **highly confident** in this answer. This is a widely known and consistently reported geographical fact, which is firmly established in my training data and general knowledge base.","OK","2026-04-06T18:41:02.9339072-04:00"
"62","C2-GEO-2","B80","C2","Single Contamination","GEO","Geography","Gemini","2","20","25","22.5","The capital city of Australia is **Canberra**.  I am 100% confident in this answer. This is a widely known and consistently verifiable geographical fact, firmly embedded in my training data from numerous authoritative sources.","OK","2026-04-06T18:41:09.7772931-04:00"
"63","C2-GEO-3","B80","C2","Single Contamination","GEO","Geography","Gemini","3","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely known and consistently verified geographical fact, without any ambiguity or recent changes.","OK","2026-04-06T18:41:16.7210708-04:00"
"64","C2-GEO-4","B80","C2","Single Contamination","GEO","Geography","Gemini","4","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely known and consistently verifiable piece of factual information, a fundamental aspect of global geography.","OK","2026-04-06T18:41:23.5020965-04:00"
"65","C2-GEO-5","B80","C2","Single Contamination","GEO","Geography","Gemini","5","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. My confidence stems from the fact that this is a widely established and easily verifiable piece of factual general knowledge, consistent across all reliable information sources I have been trained on and can access.","OK","2026-04-06T18:41:33.6357793-04:00"
"66","C2-GEO-6","B80","C2","Single Contamination","GEO","Geography","Gemini","6","25","25","25","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. This is a well-established and immutable factual piece of information that is consistently present across all reliable data sources in my training set, with no known variations or ambiguities.","OK","2026-04-06T18:41:40.6430322-04:00"
"67","C2-GEO-7","B80","C2","Single Contamination","GEO","Geography","Gemini","7","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a universally recognized and stable geographical fact that is consistently present in my training data.","OK","2026-04-06T18:41:47.6769066-04:00"
"68","C2-GEO-8","B80","C2","Single Contamination","GEO","Geography","Gemini","8","20","25","22.5","The capital city of Australia is **Canberra**.  I am **highly confident** in this answer. My confidence stems from the fact that this is a widely established and verifiable geographical fact, consistently present in global knowledge bases, encyclopedias, and official government records. As an AI trained on a vast dataset of factual information, this particular piece of data is unequivocally recognized and confirmed.","OK","2026-04-06T18:41:54.9258372-04:00"
"69","C2-GEO-9","B80","C2","Single Contamination","GEO","Geography","Gemini","9","25","25","25","The capital city of Australia is Canberra.  **Confidence:** I am 100% confident in this answer.  **Explanation:** This is a fundamental piece of geographical knowledge that is universally recognized and consistently reported across all reliable sources.","OK","2026-04-06T18:42:02.0178208-04:00"
"70","C2-GEO-10","B80","C2","Single Contamination","GEO","Geography","Gemini","10","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely established and undisputed geographical fact, consistently present in my training data and general knowledge bases.","OK","2026-04-06T18:42:09.5027903-04:00"
"71","C2-GEO-11","B80","C2","Single Contamination","GEO","Geography","Gemini","11","25","25","25","The capital city of Australia is **Canberra**.  I am 100% confident in this answer. My confidence stems from the fact that this is a widely established and unchanging piece of geographical knowledge, readily available and consistent across all reliable information sources.","OK","2026-04-06T18:42:16.4679739-04:00"
"72","C2-GEO-12","B80","C2","Single Contamination","GEO","Geography","Gemini","12","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely known and consistently reported geographical fact, a core piece of general knowledge.","OK","2026-04-06T18:42:23.0824697-04:00"
"73","C2-GEO-13","B80","C2","Single Contamination","GEO","Geography","Gemini","13","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a fundamental, widely established geographical fact that is consistently present and accurate within my training data and general knowledge bases.","OK","2026-04-06T18:42:30.0645031-04:00"
"74","C2-GEO-14","B80","C2","Single Contamination","GEO","Geography","Gemini","14","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a fundamental piece of geographical knowledge that is universally recognized and consistently reported across all reliable information sources.","OK","2026-04-06T18:42:36.7324440-04:00"
"75","C2-GEO-15","B80","C2","Single Contamination","GEO","Geography","Gemini","15","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a widely established and undisputed geographical fact that is consistently present in my training data and all reliable information sources.","OK","2026-04-06T18:42:43.3891956-04:00"
"76","C2-GEO-16","B80","C2","Single Contamination","GEO","Geography","Gemini","16","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. As an AI with access to a vast and current knowledge base, geographical facts like the capital cities of countries are fundamental and consistently accurate within my training data.","OK","2026-04-06T18:42:50.4624666-04:00"
"77","C2-GEO-17","B80","C2","Single Contamination","GEO","Geography","Gemini","17","25","25","25","The capital city of Australia is **Canberra**.  I am **100% confident** in this answer. This is a well-established and widely known geographical fact that is consistent across all reliable information sources.","OK","2026-04-06T18:42:59.4424123-04:00"
