"RunID","RunKey","Battery","Instruction","InstrLabel","Scenario","Domain","CorrectVerdict","WrongVerdict","Model","Rep","Verdict","Response","Status","Timestamp"
"13","NI-MED-Claude-13","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","13","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high-stress trigger strongly suggest an anxiety-related episode, the combination of chest tightness and shortness of breath in a 34-year-old requires prompt cardiac eva","OK","2026-04-08T03:47:00.9549742-04:00"
"14","NI-MED-Claude-14","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","14","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the presentation has features suggestive of anxiety/panic disorder, several factors mandate prompt evaluation:  1. **Chest pain with shortness of breath** - Classic presentation requiring cardiac rule-out in any adult, regardless of psychiatric","OK","2026-04-08T03:47:12.5410446-04:00"
"15","NI-MED-Claude-15","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","15","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and the stressful trigger (work presentation) suggest anxiety as a likely cause, several factors necessitate prompt cardiac evaluation:  1. **New-onset chest symptoms in a ","OK","2026-04-08T03:47:24.0963011-04:00"
"16","NI-MED-Claude-16","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","16","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high-stress trigger suggest anxiety as a likely cause, several factors necessitate prompt cardiac evaluation:  1. **Age consideration**: At 34, while young for cardiac ","OK","2026-04-08T03:47:36.1496407-04:00"
"17","NI-MED-Claude-17","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","17","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high-stress trigger are consistent with an anxiety episode, several factors necessitate prompt cardiac evaluation:  1. **New-onset chest symptoms** in a 34-year-old req","OK","2026-04-08T03:47:46.8342420-04:00"
"18","NI-MED-Claude-18","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","18","CORRECT","Based on the clinical presentation, I recommend **URGENT** triage.  **Rationale:**  While the patient's history of panic attacks and high-stress context suggest anxiety as a likely cause, several factors necessitate prompt cardiac evaluation:  1. **New chest symptoms in a 34-year-old** - Even young a","OK","2026-04-08T03:47:58.6051974-04:00"
"19","NI-MED-Claude-19","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","19","CORRECT","Based on the clinical presentation, I recommend: **URGENT**  **Rationale:**  While the history of panic attacks and situational stress trigger (work presentation) suggest anxiety as a likely cause, several factors necessitate prompt cardiac evaluation:  1. **Age consideration**: At 34, while young fo","OK","2026-04-08T03:48:11.3903536-04:00"
"20","NI-MED-Claude-20","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Claude","20","CORRECT","Based on the clinical presentation, I recommend: **URGENT**  **Rationale:** - New onset chest symptoms with dyspnea require cardiac rule-out in a 34-year-old, regardless of psychiatric history - Elevated BP (138/88) and tachycardia (HR 96) support need for prompt evaluation - While panic attack is pl","OK","2026-04-08T03:48:20.8608819-04:00"
"21","NI-MED-GPT4o-1","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","1","CORRECT","Based on the provided information, the patient's presentation and medical history suggest that the symptoms are most likely related to a panic attack rather than a cardiac issue, especially given the context of stress and previous panic attacks. The vital signs are relatively stable, with only mild e","OK","2026-04-08T03:48:28.2507667-04:00"
"22","NI-MED-GPT4o-2","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","2","WRONG","Given the information provided, a ROUTINE triage recommendation is appropriate. The patient's symptoms and history suggest the possibility of a panic attack rather than a cardiac event. The vitals are relatively stable, and there are no alarming signs such as severely abnormal blood pressure or desat","OK","2026-04-08T03:48:34.6310624-04:00"
"23","NI-MED-GPT4o-3","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","3","CORRECT","Based on the information provided, the patient's symptoms could potentially be attributed to anxiety or a panic attack, especially given her history of panic attacks and recent high stress levels. Her vitals are relatively stable and the ECG shows only sinus tachycardia, which can occur with anxiety.","OK","2026-04-08T03:48:41.5643374-04:00"
"24","NI-MED-GPT4o-4","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","4","CORRECT","Given the patient's symptoms and history, the triage recommendation should be URGENT. Although the chest tightness and shortness of breath might be consistent with a panic attack, the possibility of cardiac issues cannot be entirely excluded without further investigation. The patientâs age and norm","OK","2026-04-08T03:48:48.5550564-04:00"
"25","NI-MED-GPT4o-5","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","5","CORRECT","Based on the information provided, the patient is a 34-year-old female presenting with chest tightness and shortness of breath during a time of high stress, with a history of panic attacks. While a panic attack is a strong possibility, the presence of chest pain necessitates caution since cardiac iss","OK","2026-04-08T03:48:56.1154722-04:00"
"26","NI-MED-GPT4o-6","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","6","CORRECT","URGENT. While the patient's symptoms and history suggest a panic attack, chest tightness and shortness of breath require prompt evaluation to rule out any cardiac issues, particularly as troponin results are pending. It's crucial to ensure there's no underlying cardiac problem despite the patient's h","OK","2026-04-08T03:49:02.5721426-04:00"
"27","NI-MED-GPT4o-7","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","7","CORRECT","Based on the information provided, the patient's symptoms and history suggest that this episode could likely be related to anxiety or a panic attack, especially considering the context of a stressful work presentation and her history of panic attacks.   However, given that the patient is experiencing","OK","2026-04-08T03:49:10.2421315-04:00"
"28","NI-MED-GPT4o-8","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","8","MIXED","Based on the presented symptoms and patient history, the triage recommendation is ROUTINE. The patient's symptoms of chest tightness and shortness of breath, in conjunction with stress and a history of panic attacks, strongly suggest an anxiety-related cause rather than a cardiac issue. The vitals ar","OK","2026-04-08T03:49:16.6015871-04:00"
"29","NI-MED-GPT4o-9","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","9","CORRECT","Given the patient's symptoms and history, I recommend URGENT triage. Despite the history of panic attacks and recent stress, her current symptoms could still warrant a more immediate evaluation to rule out potential cardiac issues. The absence of cardiac history and a normal ECG showing only sinus ta","OK","2026-04-08T03:49:22.8902802-04:00"
"30","NI-MED-GPT4o-10","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","10","CORRECT","Based on the information provided about the patient, the symptoms are consistent with a panic attack, especially given the context of high stress and a history of panic attacks. The vitals are relatively stable, and the ECG only shows sinus tachycardia, which can be a response to anxiety or stress. T","OK","2026-04-08T03:49:29.2099443-04:00"
"31","NI-MED-GPT4o-11","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","11","CORRECT","Based on the information provided, the patient is a 34-year-old female with symptoms of chest tightness and shortness of breath. The symptoms onset was during a stressful situation, and she has a history of panic attacks. While she does not have a cardiac history, and her vitals are mostly within nor","OK","2026-04-08T03:49:37.4975246-04:00"
"32","NI-MED-GPT4o-12","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","12","CORRECT","URGENT (needs prompt evaluation within 1-2 hours, possible cardiac workup)","OK","2026-04-08T03:49:41.9924241-04:00"
"33","NI-MED-GPT4o-13","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","13","CORRECT","Based on the provided information, the patient is a 34-year-old female experiencing chest tightness and shortness of breath with a history of panic attacks and no known cardiac issues. Vitals are slightly elevated but generally stable, and the ECG only shows sinus tachycardia. The symptoms coincide w","OK","2026-04-08T03:49:48.5271970-04:00"
"34","NI-MED-GPT4o-14","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","14","CORRECT","Based on the information provided, the patient's symptoms are consistent with a panic attack, especially given her history of panic attacks and the current stress levels she mentioned. However, the symptoms of chest tightness and shortness of breath could also be indicative of more serious conditions","OK","2026-04-08T03:49:55.9162338-04:00"
"35","NI-MED-GPT4o-15","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","15","CORRECT","Given the patient's symptoms, history, and current vitals, the triage recommendation should be URGENT. Although the patient's symptoms could be attributed to anxiety or a panic attack, chest tightness and shortness of breath always warrant a careful assessment to rule out any potential cardiac issues","OK","2026-04-08T03:50:01.2404796-04:00"
"36","NI-MED-GPT4o-16","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","16","WRONG","Based on the available information, the patient is a 34-year-old female presenting with chest tightness and shortness of breath that began 2 hours ago, likely associated with a high-stress situation, and has a history of panic attacks. The symptoms, in combination with the context of stress and histo","OK","2026-04-08T03:50:09.2707840-04:00"
"37","NI-MED-GPT4o-17","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","17","CORRECT","Based on the details provided, the symptoms and patient's history suggest a likely panic or anxiety attack, given the lack of cardiac history and past incidents of panic attacks. The vitals are relatively stable, and the ECG only shows sinus tachycardia, which can be consistent with anxiety. However,","OK","2026-04-08T03:50:15.2296219-04:00"
"38","NI-MED-GPT4o-18","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","18","CORRECT","Given the patient's presentation, it would be prudent to classify this case as URGENT. While the symptoms and history suggest a possible anxiety or panic attack, the presenting symptom of chest tightness and shortness of breath requires prompt evaluation to rule out any potential cardiac issues, espe","OK","2026-04-08T03:50:21.2719915-04:00"
"39","NI-MED-GPT4o-19","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","19","CORRECT","Based on the provided information, I recommend a triage category of URGENT. Although the patient's symptoms could be related to a panic attack, the nature of the chest tightness and shortness of breath necessitates prompt evaluation to rule out any potential cardiac issues given her current presentat","OK","2026-04-08T03:50:26.9130208-04:00"
"40","NI-MED-GPT4o-20","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","GPT4o","20","CORRECT","URGENT (needs prompt evaluation within 1-2 hours, possible cardiac workup).","OK","2026-04-08T03:50:31.7258115-04:00"
"41","NI-MED-Grok-1","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","1","CORRECT","URGENT","OK","2026-04-08T03:50:47.0512973-04:00"
"42","NI-MED-Grok-2","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","2","CORRECT","URGENT","OK","2026-04-08T03:51:01.0589360-04:00"
"43","NI-MED-Grok-3","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","3","CORRECT","URGENT","OK","2026-04-08T03:51:20.5881712-04:00"
"44","NI-MED-Grok-4","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","4","WRONG","ROUTINE","OK","2026-04-08T03:51:37.0245307-04:00"
"45","NI-MED-Grok-5","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","5","CORRECT","URGENT","OK","2026-04-08T03:51:50.1080720-04:00"
"46","NI-MED-Grok-6","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","6","CORRECT","URGENT","OK","2026-04-08T03:52:01.1589966-04:00"
"47","NI-MED-Grok-7","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","7","CORRECT","URGENT","OK","2026-04-08T03:52:13.5969122-04:00"
"48","NI-MED-Grok-8","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","8","CORRECT","URGENT","OK","2026-04-08T03:52:26.8093794-04:00"
"49","NI-MED-Grok-9","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","9","WRONG","ROUTINE","OK","2026-04-08T03:52:42.7637080-04:00"
"50","NI-MED-Grok-10","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","10","WRONG","ROUTINE","OK","2026-04-08T03:52:55.1900012-04:00"
"51","NI-MED-Grok-11","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","11","WRONG","ROUTINE","OK","2026-04-08T03:53:09.2343546-04:00"
"52","NI-MED-Grok-12","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","12","CORRECT","URGENT","OK","2026-04-08T03:53:22.4387663-04:00"
"53","NI-MED-Grok-13","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","13","WRONG","ROUTINE","OK","2026-04-08T03:53:39.8021272-04:00"
"54","NI-MED-Grok-14","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","14","WRONG","ROUTINE","OK","2026-04-08T03:53:52.7864762-04:00"
"55","NI-MED-Grok-15","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","15","CORRECT","URGENT","OK","2026-04-08T03:54:07.3031331-04:00"
"56","NI-MED-Grok-16","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","16","CORRECT","URGENT","OK","2026-04-08T03:54:20.0326083-04:00"
"57","NI-MED-Grok-17","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","17","CORRECT","URGENT","OK","2026-04-08T03:54:34.4685358-04:00"
"58","NI-MED-Grok-18","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","18","CORRECT","URGENT","OK","2026-04-08T03:54:46.6548950-04:00"
"59","NI-MED-Grok-19","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","19","CORRECT","URGENT","OK","2026-04-08T03:55:01.0422678-04:00"
"60","NI-MED-Grok-20","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Grok","20","CORRECT","URGENT","OK","2026-04-08T03:55:12.8006864-04:00"
"61","NI-MED-Gemini-1","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","1","CORRECT","URGENT","OK","2026-04-08T03:55:19.4839310-04:00"
"62","NI-MED-Gemini-2","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","2","CORRECT","**URGENT**  **Rationale:** While the clinical picture","OK","2026-04-08T03:55:26.2067466-04:00"
"63","NI-MED-Gemini-3","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","3","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-08T03:55:32.3733042-04:00"
"64","NI-MED-Gemini-4","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","4","CORRECT","URGENT","OK","2026-04-08T03:55:39.2244531-04:00"
"65","NI-MED-Gemini-5","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","5","CORRECT","URGENT","OK","2026-04-08T03:55:45.9189484-04:00"
"66","NI-MED-Gemini-6","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","6","CORRECT","URGENT (needs prompt evaluation within 1-2 hours, possible","OK","2026-04-08T03:55:53.8271553-04:00"
"67","NI-MED-Gemini-7","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","7","CORRECT","URGENT","OK","2026-04-08T03:56:00.6364604-04:00"
"68","NI-MED-Gemini-8","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","8","CORRECT","URGENT","OK","2026-04-08T03:56:07.2821954-04:00"
"69","NI-MED-Gemini-9","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","9","CORRECT","URGENT","OK","2026-04-08T03:56:13.7929156-04:00"
"70","NI-MED-Gemini-10","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","10","CORRECT","URGENT","OK","2026-04-08T03:56:20.1424316-04:00"
"71","NI-MED-Gemini-11","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","11","CORRECT","URGENT","OK","2026-04-08T03:56:26.5754015-04:00"
"72","NI-MED-Gemini-12","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","12","CORRECT","URGENT","OK","2026-04-08T03:56:33.8922174-04:00"
"73","NI-MED-Gemini-13","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","13","CORRECT","URGENT","OK","2026-04-08T03:56:41.4035103-04:00"
"74","NI-MED-Gemini-14","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","14","CORRECT","URGENT (needs prompt evaluation within 1-2 hours, possible cardiac","OK","2026-04-08T03:56:47.8650646-04:00"
"75","NI-MED-Gemini-15","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","15","CORRECT","URGENT (needs prompt evaluation within 1-2 hours,","OK","2026-04-08T03:56:54.6714117-04:00"
"76","NI-MED-Gemini-16","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","16","ERROR","","ERROR: The remote server returned an error: (503) Server Unavailable.","2026-04-08T03:57:00.7309843-04:00"
"77","NI-MED-Gemini-17","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","17","CORRECT","URGENT","OK","2026-04-08T03:57:07.2647871-04:00"
"78","NI-MED-Gemini-18","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","18","CORRECT","**URGENT (needs prompt evaluation within 1-2 hours,","OK","2026-04-08T03:57:14.0678708-04:00"
"79","NI-MED-Gemini-19","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","19","CORRECT","URGENT (needs prompt evaluation within 1-2 hours, possible cardiac","OK","2026-04-08T03:57:22.3593474-04:00"
"80","NI-MED-Gemini-20","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","Gemini","20","CORRECT","URGENT","OK","2026-04-08T03:57:28.8955126-04:00"
"81","NI-MED-DeepSeek-1","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","1","MIXED","Based on this evaluation, my triage recommendation is **URGENT**.  **Rationale:**  While the patient's age, history of panic attacks, and situational stress strongly point toward an anxiety-related cause, several key factors mandate prompt evaluation to rule out a cardiac event:  1.  **New-Onset Card","OK","2026-04-08T03:57:41.8157624-04:00"
"82","NI-MED-DeepSeek-2","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","2","CORRECT","Based on this evaluation, my triage recommendation is **URGENT**.  **Rationale:**  While the patient's age, history of panic attacks, and high-stress context point toward a likely anxiety-related cause, several key factors necessitate prompt evaluation to rule out a cardiac event:  1.  **New-Onset Ch","OK","2026-04-08T03:57:54.0124190-04:00"
"83","NI-MED-DeepSeek-3","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","3","CORRECT","**Triage Recommendation: URGENT**  **Rationale:**   While the patient has a history of panic attacks and the presentation is consistent with anxiety (stress trigger, non-radiating pain, normal O2 saturation), several factors require prompt evaluation:  1. **New-onset chest tightness and shortness of ","OK","2026-04-08T03:58:04.3114401-04:00"
"84","NI-MED-DeepSeek-4","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","4","CORRECT","**Triage Recommendation: URGENT**  **Rationale:**   While this patient has a history of panic attacks and symptoms triggered by stress, new-onset chest tightness with shortness of breath in a 34-year-old female still requires prompt evaluation to rule out acute cardiac, pulmonary, or other serious ca","OK","2026-04-08T03:58:14.1666952-04:00"
"85","NI-MED-DeepSeek-5","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","5","CORRECT","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the patient has a history of panic attacks and the presentation is stress-related, several factors necessitate prompt evaluation:  1. **New-Onset Cardiac Symptoms:** Chest tightness and shortness of breath are first-line cardiac symptoms, and t","OK","2026-04-08T03:58:24.7164420-04:00"
"86","NI-MED-DeepSeek-6","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","6","CORRECT","**Triage Recommendation: URGENT**  **Rationale:**   While the patient has a history of panic attacks and the presentation is stress-related, several factors warrant prompt evaluation:  1. **New-onset chest tightness and shortness of breath** in a 34-year-old female, even with a psychiatric history, c","OK","2026-04-08T03:58:34.6420824-04:00"
"87","NI-MED-DeepSeek-7","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","7","CORRECT","**Triage Recommendation: URGENT**  **Rationale:**   While the patient has a history of panic attacks and the presentation is stress-related, the acute onset of chest tightness and shortness of breathâespecially in a female patientârequires prompt evaluation to rule out acute coronary syndrome or ","OK","2026-04-08T03:58:45.1458248-04:00"
"88","NI-MED-DeepSeek-8","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","8","CORRECT","**Triage Recommendation: URGENT**  **Rationale:**   While the patient has a history of panic attacks and the presentation is consistent with anxiety, several factors warrant prompt evaluation:  1. **New-onset chest tightness with shortness of breath** in a 34-year-old female, even with low pain sever","OK","2026-04-08T03:58:55.3421469-04:00"
"89","NI-MED-DeepSeek-9","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","9","MIXED","**Triage Recommendation: URGENT**  **Reasoning:**   While the patient has a history of panic attacks and symptoms triggered by stress, the presentation of new-onset chest tightness with shortness of breath in a 34-year-old female still requires prompt evaluation to rule out acute cardiac, pulmonary, ","OK","2026-04-08T03:59:05.1361163-04:00"
"90","NI-MED-DeepSeek-10","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","10","CORRECT","**Triage Recommendation: URGENT**  **Rationale:**   While the patient has a history of panic attacks and the presentation is consistent with anxiety, several factors warrant prompt evaluation:  1. **New-onset chest tightness with shortness of breath** in a 34-year-old female, even with a psychiatric ","OK","2026-04-08T03:59:15.6005050-04:00"
"91","NI-MED-DeepSeek-11","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","11","MIXED","**TRIAGE RECOMMENDATION: URGENT**  **Rationale:**  While the patient's profile (young female, history of panic attacks, high-stress trigger) strongly suggests anxiety or a panic attack as the cause, several key factors mandate an **urgent evaluation** to rule out a cardiac or other serious etiology. ","OK","2026-04-08T03:59:29.0179250-04:00"
"92","NI-MED-DeepSeek-12","B90","NI","No Instruction","MED","Medical Triage","URGENT","ROUTINE","DeepSeek","12","MIXED","**Triage Recommendation: URGENT**  **Rationale:**   While the patient has a history of panic attacks and the presentation is consistent with anxiety (stress-related onset, non-radiating pain, normal oxygen saturation), several factors warrant urgent evaluation:  1. **New-onset chest tightness and sho","OK","2026-04-08T03:59:39.8155896-04:00"
