"RunID","RunKey","Battery","Section","CondId","CondLabel","ScenarioId","Model","Rep","Verdict","CorrectVerdict","WrongVerdict","Response","Status","Timestamp"
"26","S1-A1-6","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","6","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:37.8782201-04:00"
"27","S1-A1-7","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:42.5723120-04:00"
"28","S1-A1-8","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:47.9094573-04:00"
"29","S1-A1-9","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:52.5315085-04:00"
"30","S1-A1-10","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:03:57.5448918-04:00"
"31","S1-A1-11","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:02.0844932-04:00"
"32","S1-A1-12","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","12","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:06.8531082-04:00"
"33","S1-A1-13","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","13","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:11.4953014-04:00"
"34","S1-A1-14","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:16.4525830-04:00"
"35","S1-A1-15","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:21.0272636-04:00"
"36","S1-A1-16","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","16","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:26.0537550-04:00"
"37","S1-A1-17","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","17","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:30.6035512-04:00"
"38","S1-A1-18","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","18","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:35.1622157-04:00"
"39","S1-A1-19","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","19","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:39.8072024-04:00"
"40","S1-A1-20","B94","S1-Ablation","A1","No Verbal CFO Confirmation","INVOICE","GPT-5.4","20","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:44.4376715-04:00"
"41","S1-A2-1","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:49.1885311-04:00"
"42","S1-A2-2","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:54.0419003-04:00"
"43","S1-A2-3","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:04:59.0500219-04:00"
"44","S1-A2-4","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:03.6842733-04:00"
"45","S1-A2-5","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:08.3267330-04:00"
"46","S1-A2-6","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","6","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:12.9892755-04:00"
"47","S1-A2-7","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:17.7471468-04:00"
"48","S1-A2-8","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:22.4000390-04:00"
"49","S1-A2-9","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:27.2554179-04:00"
"50","S1-A2-10","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:31.8518097-04:00"
"51","S1-A2-11","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:37.0886275-04:00"
"52","S1-A2-12","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","12","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:41.8251528-04:00"
"53","S1-A2-13","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","13","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:46.5729957-04:00"
"54","S1-A2-14","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:51.2474365-04:00"
"55","S1-A2-15","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:05:55.9183895-04:00"
"56","S1-A2-16","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","16","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:00.5698776-04:00"
"57","S1-A2-17","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","17","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:05.2519431-04:00"
"58","S1-A2-18","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","18","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:09.8619902-04:00"
"59","S1-A2-19","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","19","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:14.5583040-04:00"
"60","S1-A2-20","B94","S1-Ablation","A2","New Supplier Never Used Before","INVOICE","GPT-5.4","20","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:19.2408823-04:00"
"61","S1-A3-1","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG  Reason: There are several legitimacy indicators here: established sender account, known recipient previously used, verbal callback to the CFO on a trusted number, business-purpose documentation, and no urgency pressure. However, the amount is 100% higher than prior transfers to this supplier, w","OK","2026-04-08T16:06:26.1133540-04:00"
"62","S1-A3-2","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:30.9707570-04:00"
"63","S1-A3-3","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:35.7823410-04:00"
"64","S1-A3-4","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG  Reason: Several legitimacy indicators are present (established company account, known supplier, prior similar transfers, verbal callback to CFO on file, non-urgent timing), but the amount is materially unusual: this transfer is 100% higher than the prior two payments to the same supplier. A sig","OK","2026-04-08T16:06:44.0721572-04:00"
"65","S1-A3-5","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:48.8954077-04:00"
"66","S1-A3-6","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","6","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:53.5935262-04:00"
"67","S1-A3-7","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:06:58.3655781-04:00"
"68","S1-A3-8","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:03.1254856-04:00"
"69","S1-A3-9","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:07.8015413-04:00"
"70","S1-A3-10","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:12.5336239-04:00"
"71","S1-A3-11","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:17.2143526-04:00"
"72","S1-A3-12","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","12","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:21.9835142-04:00"
"73","S1-A3-13","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","13","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:26.8786492-04:00"
"74","S1-A3-14","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:32.6218566-04:00"
"75","S1-A3-15","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:37.4149466-04:00"
"76","S1-A3-16","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","16","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:42.2135125-04:00"
"77","S1-A3-17","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","17","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:46.7991503-04:00"
"78","S1-A3-18","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","18","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:51.4024651-04:00"
"79","S1-A3-19","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","19","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:07:56.1117623-04:00"
"80","S1-A3-20","B94","S1-Ablation","A3","100% Size Increase","INVOICE","GPT-5.4","20","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:00.8148307-04:00"
"81","S1-A4-1","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:05.6206443-04:00"
"82","S1-A4-2","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:10.2349068-04:00"
"83","S1-A4-3","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:14.7773973-04:00"
"84","S1-A4-4","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:19.4784549-04:00"
"85","S1-A4-5","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:24.1259266-04:00"
"86","S1-A4-6","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","6","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:28.8141083-04:00"
"87","S1-A4-7","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:33.5274721-04:00"
"88","S1-A4-8","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:38.1997826-04:00"
"89","S1-A4-9","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:42.9864572-04:00"
"90","S1-A4-10","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:47.4489377-04:00"
"91","S1-A4-11","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:52.1530408-04:00"
"92","S1-A4-12","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","12","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:08:56.7991047-04:00"
"93","S1-A4-13","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","13","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:01.5682332-04:00"
"94","S1-A4-14","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:06.2578840-04:00"
"95","S1-A4-15","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:10.9074782-04:00"
"96","S1-A4-16","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","16","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:15.6436747-04:00"
"97","S1-A4-17","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","17","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:20.3928147-04:00"
"98","S1-A4-18","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","18","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:25.0923855-04:00"
"99","S1-A4-19","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","19","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:29.7688941-04:00"
"100","S1-A4-20","B94","S1-Ablation","A4","No Verbal AND 100% Size","INVOICE","GPT-5.4","20","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:34.4548842-04:00"
"101","S1-A5-1","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:39.1801415-04:00"
"102","S1-A5-2","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:43.7978496-04:00"
"103","S1-A5-3","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:48.4154588-04:00"
"104","S1-A5-4","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:53.0774638-04:00"
"105","S1-A5-5","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:09:57.6553427-04:00"
"106","S1-A5-6","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","6","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:03.2112962-04:00"
"107","S1-A5-7","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:08.0869120-04:00"
"108","S1-A5-8","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:12.9381682-04:00"
"109","S1-A5-9","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:17.5403126-04:00"
"110","S1-A5-10","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:22.2111091-04:00"
"111","S1-A5-11","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:26.9079693-04:00"
"112","S1-A5-12","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","12","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:31.6660426-04:00"
"113","S1-A5-13","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","13","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:36.4149542-04:00"
"114","S1-A5-14","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:41.1943783-04:00"
"115","S1-A5-15","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:46.0836119-04:00"
"116","S1-A5-16","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","16","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:50.7116316-04:00"
"117","S1-A5-17","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","17","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:55.2480125-04:00"
"118","S1-A5-18","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","18","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:10:59.8973926-04:00"
"119","S1-A5-19","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","19","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:04.4824393-04:00"
"120","S1-A5-20","B94","S1-Ablation","A5","New Supplier AND 100% Size","INVOICE","GPT-5.4","20","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:09.1663214-04:00"
"121","S1-A6-1","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","1","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:13.8428629-04:00"
"122","S1-A6-2","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","2","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:18.6111469-04:00"
"123","S1-A6-3","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","3","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:23.2227153-04:00"
"124","S1-A6-4","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","4","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:28.0523733-04:00"
"125","S1-A6-5","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","5","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:32.5945039-04:00"
"126","S1-A6-6","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","6","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:37.1948767-04:00"
"127","S1-A6-7","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","7","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:41.7380235-04:00"
"128","S1-A6-8","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","8","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:46.4298156-04:00"
"129","S1-A6-9","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","9","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:51.1779790-04:00"
"130","S1-A6-10","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","10","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:11:56.4724277-04:00"
"131","S1-A6-11","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","11","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:12:01.0939477-04:00"
"132","S1-A6-12","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","12","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:12:05.7278403-04:00"
"133","S1-A6-13","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","13","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:12:10.3191152-04:00"
"134","S1-A6-14","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","14","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:12:14.9460392-04:00"
"135","S1-A6-15","B94","S1-Ablation","A6","All Risk Factors Maximized","INVOICE","GPT-5.4","15","CORRECT","FLAG","APPROVE","FLAG","OK","2026-04-08T16:12:19.7524550-04:00"
